model,epoch,phase,epoch_loss,epoch_acc
finetune,0,train,1.0231795605906195,0.5954850518608907
finetune,0,test,1.0257451413509124,0.6452905811623246
finetune,1,train,0.8796875205422069,0.6450071181614806
finetune,1,test,0.8658323835036559,0.6901803607214428
finetune,2,train,0.7483778168860795,0.6931055521659548
finetune,2,test,0.5613704071374599,0.7677354709418838
finetune,3,train,0.7053220099262865,0.7126296522269676
finetune,3,test,0.5598749078586249,0.7743486973947896
finetune,4,train,0.6186471649646177,0.7462883872279845
finetune,4,test,0.7554897279084803,0.7120240480961924
finetune,5,train,0.5690350000672111,0.7738458409599349
finetune,5,test,0.584743716673765,0.7741482965931864
finetune,6,train,0.5396359594815724,0.7829977628635347
finetune,6,test,0.6137112573416296,0.7661322645290581
finetune,7,train,0.33152159370250134,0.8738051657514745
finetune,7,test,0.5089230619356007,0.8090180360721443
finetune,8,train,0.280376335736671,0.8952613382143584
finetune,8,test,0.5133088921975039,0.8072144288577154
finetune,9,train,0.25514115347400634,0.9051250762660159
finetune,9,test,0.5184721229071607,0.8122244488977955
finetune,10,train,0.2471576909515124,0.9071588366890381
finetune,10,test,0.5391066311714884,0.7981963927855712
finetune,11,train,0.22550264831260378,0.9186495830791133
finetune,11,test,0.5568887771131519,0.8032064128256513
finetune,12,train,0.207256514960148,0.9250559284116331
finetune,12,test,0.5342254294422203,0.8106212424849699
finetune,13,train,0.1899880120515193,0.9322757779133618
finetune,13,test,0.5616901372620959,0.8070140280561122
finetune,14,train,0.157952157382391,0.945596908684157
finetune,14,test,0.5519650272472588,0.8102204408817635
finetune,15,train,0.1608145212300405,0.946613788895668
finetune,15,test,0.5693991359704004,0.8082164328657314
finetune,16,train,0.15668985046990305,0.9459019727476103
finetune,16,test,0.5548595233049565,0.8112224448897796
finetune,17,train,0.15901352961858115,0.9439699003457392
finetune,17,test,0.5599309384703397,0.8050100200400802
finetune,18,train,0.1520263199910949,0.9487492373398414
finetune,18,test,0.5642347424087639,0.8070140280561122
finetune,19,train,0.1467272037167071,0.9495627415090502
finetune,19,test,0.5812184236570446,0.8094188376753507
finetune,20,train,0.14871336102412924,0.9471222290014236
finetune,20,test,0.5577204848697525,0.8120240480961923
finetune,21,train,0.14617481633175286,0.9456985967053081
finetune,21,test,0.5428123264608976,0.8130260521042084
finetune,22,train,0.1479133842726997,0.9507829977628636
finetune,22,test,0.5779258884504467,0.8104208416833667
finetune,23,train,0.15158042853528803,0.9470205409802726
finetune,23,test,0.5967180556906966,0.8092184368737475
finetune,24,train,0.15406851100441593,0.946613788895668
finetune,24,test,0.562807709372832,0.8134268537074149
feature_extract,0,train,1.028714704839636,0.5758592637787269
feature_extract,0,test,0.8429432706149642,0.6633266533066132
feature_extract,1,train,0.9849306538758638,0.6102298149278015
feature_extract,1,test,0.8363362103163121,0.6781563126252504
feature_extract,2,train,0.9880207380750011,0.6074842383567216
feature_extract,2,test,0.7307610293070157,0.7084168336673347
feature_extract,3,train,0.9816656581374089,0.616331096196868
feature_extract,3,test,0.7396023163217342,0.7044088176352705
feature_extract,4,train,0.9538485338975434,0.6166361602603213
feature_extract,4,test,0.8878492717752475,0.6507014028056112
feature_extract,5,train,1.0062632577397945,0.6115517592027659
feature_extract,5,test,0.733140184943805,0.7054108216432866
feature_extract,6,train,0.9913860435878112,0.6132804555623348
feature_extract,6,test,0.8746863322291442,0.6889779559118236
feature_extract,7,train,0.8018677238104472,0.6639210900955868
feature_extract,7,test,0.6941840869510819,0.7208416833667335
feature_extract,8,train,0.7846822961452702,0.6716493797030709
feature_extract,8,test,0.6662222122859381,0.7270541082164329
feature_extract,9,train,0.768464757473895,0.672564571893431
feature_extract,9,test,0.6840213015944303,0.7138276553106212
feature_extract,10,train,0.7521671201789042,0.6759202765914175
feature_extract,10,test,0.6371276069260791,0.7360721442885771
feature_extract,11,train,0.7659332180607481,0.6741915802318487
feature_extract,11,test,0.6362692443784588,0.7382765531062124
feature_extract,12,train,0.760057797616445,0.6733780760626398
feature_extract,12,test,0.6447895759690501,0.732064128256513
feature_extract,13,train,0.7643607829932108,0.6727679479357331
feature_extract,13,test,0.6356913415487401,0.7276553106212424
feature_extract,14,train,0.7466324533246653,0.681004677648973
feature_extract,14,test,0.679426721102728,0.7178356713426853
feature_extract,15,train,0.7361170781599401,0.6861907667276794
feature_extract,15,test,0.6395745669314283,0.7336673346693386
feature_extract,16,train,0.7346970138024673,0.6834451901565995
feature_extract,16,test,0.6324509310340117,0.7380761523046092
feature_extract,17,train,0.7390878105311465,0.6854789505796217
feature_extract,17,test,0.6270232541766577,0.73687374749499
feature_extract,18,train,0.7387493171717594,0.6873093349603416
feature_extract,18,test,0.6546094015748324,0.7302605210420842
feature_extract,19,train,0.7377980937069452,0.6848688224527151
feature_extract,19,test,0.6302835778267923,0.7358717434869739
feature_extract,20,train,0.7309549264920444,0.6863941427699817
feature_extract,20,test,0.6712542798930037,0.7208416833667335
feature_extract,21,train,0.7392798076564276,0.6790726052471019
feature_extract,21,test,0.6490066881648047,0.732064128256513
feature_extract,22,train,0.7358069430892002,0.689444783404515
feature_extract,22,test,0.6309437865365244,0.73687374749499
feature_extract,23,train,0.7385375971216629,0.6881228391295505
feature_extract,23,test,0.6254133491095656,0.7372745490981963
feature_extract,24,train,0.746097296233921,0.6884279031930038
feature_extract,24,test,0.6318472359486238,0.7366733466933868
