model,epoch,phase,epoch_loss,epoch_acc
feature_extract,0,train,0.8182348951945703,0.7004166666666667
feature_extract,0,test,0.4142341165182491,0.8597916666666666
feature_extract,1,train,0.790098256352875,0.725
feature_extract,1,test,0.5119151880964636,0.8279166666666666
feature_extract,2,train,0.7426536818676525,0.7443055555555556
feature_extract,2,test,0.4624893648798267,0.8477083333333333
feature_extract,3,train,0.7773026430275705,0.7343055555555555
feature_extract,3,test,0.4914562147731582,0.8335416666666666
feature_extract,4,train,0.7481784903009733,0.7420833333333333
feature_extract,4,test,0.46536040389289457,0.8497916666666666
feature_extract,5,train,0.7753999644849036,0.7405555555555555
feature_extract,5,test,0.43594897599269944,0.858125
feature_extract,6,train,0.7316693593147728,0.7504166666666666
feature_extract,6,test,0.4826209506144126,0.8420833333333333
feature_extract,7,train,0.6176937063948975,0.7806944444444445
feature_extract,7,test,0.4344952607154846,0.851875
feature_extract,8,train,0.6096942386610641,0.7776388888888889
feature_extract,8,test,0.41522907352695865,0.8547916666666666
feature_extract,9,train,0.6064588075213962,0.7826388888888889
feature_extract,9,test,0.4077752839277188,0.8572916666666667
feature_extract,10,train,0.5789959983610444,0.7854166666666667
feature_extract,10,test,0.4266011990482608,0.8527083333333333
feature_extract,11,train,0.5969826273537344,0.7801388888888889
feature_extract,11,test,0.41375887872030337,0.85375
feature_extract,12,train,0.5999253616730372,0.7825
feature_extract,12,test,0.43593988304336867,0.8489583333333334
feature_extract,13,train,0.5832884268876579,0.78625
feature_extract,13,test,0.4270171789700786,0.8485416666666666
feature_extract,14,train,0.5707187955743737,0.7886111111111112
feature_extract,14,test,0.4113173248494665,0.8564583333333333
feature_extract,15,train,0.592489781462484,0.7784722222222222
feature_extract,15,test,0.42116105965028205,0.855
feature_extract,16,train,0.577187082560526,0.7898611111111111
feature_extract,16,test,0.4181286401177446,0.8522916666666667
feature_extract,17,train,0.5993945201817485,0.7833333333333333
feature_extract,17,test,0.4069043610493342,0.8608333333333333
feature_extract,18,train,0.5726261566413774,0.7879166666666667
feature_extract,18,test,0.4096953928346435,0.8566666666666667
feature_extract,19,train,0.5816216894156403,0.78875
feature_extract,19,test,0.4226750358318289,0.8564583333333333
feature_extract,20,train,0.5732129229025709,0.7868055555555555
feature_extract,20,test,0.40665790329376855,0.8579166666666667
feature_extract,21,train,0.5777578693545526,0.7854166666666667
feature_extract,21,test,0.43268621804813545,0.85
feature_extract,22,train,0.5727840185330973,0.7875
feature_extract,22,test,0.40617293763905765,0.8589583333333334
feature_extract,23,train,0.5761693483342727,0.7929166666666667
feature_extract,23,test,0.43214193956305585,0.8502083333333333
feature_extract,24,train,0.5567557625058625,0.7948611111111111
feature_extract,24,test,0.4249483283236623,0.8541666666666666
feature_extract,25,train,0.5753000015848213,0.7918055555555555
feature_extract,25,test,0.40306695754329364,0.8616666666666667
feature_extract,26,train,0.5640201975239648,0.795
feature_extract,26,test,0.41479957188169164,0.8522916666666667
feature_extract,27,train,0.557935917476813,0.7945833333333333
feature_extract,27,test,0.42067760354528827,0.8527083333333333
feature_extract,28,train,0.57987542140815,0.7818055555555555
feature_extract,28,test,0.4088975000008941,0.8597916666666666
feature_extract,29,train,0.5798539964275228,0.7927777777777778
feature_extract,29,test,0.39079140707850457,0.8652083333333334
