model,epoch,phase,epock_loss,epoch_acc
feature_extract,6,test,0.452800989,0.846875
feature_extract,7,train,0.745379725,0.7275
feature_extract,7,test,0.419100752,0.858125
feature_extract,8,train,0.71521101,0.735416667
feature_extract,8,test,0.404472557,0.85875
feature_extract,9,train,0.711280642,0.734583333
feature_extract,9,test,0.410185242,0.861458333
feature_extract,10,train,0.697603917,0.738611111
feature_extract,10,test,0.39896267,0.857291667
feature_extract,11,train,0.689322568,0.744861111
feature_extract,11,test,0.406748129,0.856041667
feature_extract,12,train,0.687636369,0.738472222
feature_extract,12,test,0.43521798,0.84875
feature_extract,13,train,0.690219681,0.745833333
feature_extract,13,test,0.409261931,0.8625
feature_extract,14,train,0.676437173,0.748194444
feature_extract,14,test,0.39744976,0.859166667
feature_extract,15,train,0.667618379,0.746527778
feature_extract,15,test,0.403415056,0.856666667
feature_extract,16,train,0.701017665,0.734861111
feature_extract,16,test,0.404629455,0.86125
feature_extract,17,train,0.693683923,0.7375
feature_extract,17,test,0.412063369,0.851041667
feature_extract,18,train,0.666301292,0.750694444
feature_extract,18,test,0.394096618,0.863958333
feature_extract,19,train,0.675321657,0.749305556
feature_extract,19,test,0.388153401,0.866666667
feature_extract,20,train,0.679100582,0.7425
feature_extract,20,test,0.397718235,0.860416667
feature_extract,21,train,0.67012331,0.751388889
feature_extract,21,test,0.402784536,0.860416667
feature_extract,22,train,0.685503216,0.735833333
feature_extract,22,test,0.401211388,0.861875
feature_extract,23,train,0.691549829,0.740694444
feature_extract,23,test,0.422144767,0.849583333
feature_extract,24,train,0.695656158,0.737916667
feature_extract,24,test,0.408972149,0.8575
feature_extract,25,train,0.671638099,0.748472222
feature_extract,25,test,0.412294927,0.855
feature_extract,26,train,0.684178824,0.744027778
feature_extract,26,test,0.394071994,0.860208333
feature_extract,27,train,0.680988961,0.747083333
feature_extract,27,test,0.406465353,0.857291667
feature_extract,28,train,0.665086068,0.751805556
feature_extract,28,test,0.402098263,0.862291667
feature_extract,29,train,0.685417872,0.740138889
feature_extract,29,test,0.398141023,0.859791667
feature_extract,30,train,0.669704965,0.7475
feature_extract,30,test,0.39623302,0.862291667
feature_extract,31,train,0.678767364,0.745694444
feature_extract,31,test,0.402626839,0.858333333
feature_extract,32,train,0.668815871,0.743472222
feature_extract,32,test,0.416373739,0.853958333
feature_extract,33,train,0.673488039,0.747916667
feature_extract,33,test,0.398071898,0.861875
feature_extract,34,train,0.685597457,0.740138889
feature_extract,34,test,0.395110662,0.864583333
feature_extract,35,train,0.682872908,0.745694444
feature_extract,35,test,0.406596353,0.857916667
feature_extract,36,train,0.670040951,0.744166667
feature_extract,36,test,0.405296537,0.853958333
feature_extract,37,train,0.674468185,0.742083333
feature_extract,37,test,0.410729303,0.855833333
feature_extract,38,train,0.675242539,0.745833333
feature_extract,38,test,0.418443072,0.853958333
feature_extract,39,train,0.682267614,0.741805556
feature_extract,39,test,0.403107526,0.862083333
feature_extract,40,train,0.69157478,0.7425
feature_extract,40,test,0.425582225,0.846458333
feature_extract,41,train,0.665042808,0.750833333
feature_extract,41,test,0.406090631,0.861666667
feature_extract,42,train,0.683479676,0.738472222
feature_extract,42,test,0.410179586,0.859166667
feature_extract,43,train,0.66411148,0.751666667
feature_extract,43,test,0.390411454,0.867291667
feature_extract,44,train,0.691473133,0.736388889
feature_extract,44,test,0.390723191,0.865
feature_extract,45,train,0.687412306,0.744444444
feature_extract,45,test,0.410338907,0.854791667
feature_extract,46,train,0.675722397,0.741944444
feature_extract,46,test,0.394668223,0.863958333
feature_extract,47,train,0.664779217,0.754166667
feature_extract,47,test,0.404163605,0.857083333
feature_extract,48,train,0.696575206,0.738333333
feature_extract,48,test,0.409902883,0.856458333
feature_extract,49,train,0.681305923,0.746666667
feature_extract,49,test,0.423696482,0.850208333
